stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
MARS12CP41663,41663,Marc-Aurèle-Fortin / Curé-Labelle [41663] ,-73.789421,45.605646,0,0,0
JANV12CP41664,41664,Marc-Aurèle-Fortin / Curé-Labelle [41664] ,-73.789614,45.605826,0,0,0
MARS12CP41664,41664,Marc-Aurèle-Fortin / Curé-Labelle [41664] ,-73.789614,45.605826,0,0,0
JANV1241665,41665,Marc-Aurèle-Fortin / Du Plateau-Ouimet [41665] ,-73.787487,45.605921,0,0,0
MARS1241665,41665,Marc-Aurèle-Fortin / Du Plateau-Ouimet [41665] ,-73.787487,45.605921,0,0,0
JANV1241666,41666,Grenet / De Salaberry [41666] ,-73.713413,45.527996,0,0,0
MARS1241666,41666,Grenet / De Salaberry [41666] ,-73.713413,45.527996,0,0,0
JANV1241667,41667,Grenet / De Serres [41667] ,-73.719239,45.531638,0,0,0
MARS1241667,41667,Grenet / De Serres [41667] ,-73.719239,45.531638,0,0,0
JANV12CP41668,41668,Gare Bois-Franc [41668] ,-73.708754,45.524891,0,0,0
MARS12CP41668,41668,Gare Bois-Franc [41668] ,-73.708754,45.524891,0,0,0
JANV12CP41669,41669,Gare Bois-Franc [41669] ,-73.707767,45.524425,0,0,0
MARS12CP41669,41669,Gare Bois-Franc [41669] ,-73.707767,45.524425,0,0,0
JANV1241670,41670,Gilles / Colomban [41670] ,-73.801295,45.589319,0,0,0
MARS1241670,41670,Gilles / Colomban [41670] ,-73.801295,45.589319,0,0,0
JANV1241671,41671,Gilles / Camille [41671] ,-73.799073,45.588488,0,0,0
MARS1241671,41671,Gilles / Camille [41671] ,-73.799073,45.588488,0,0,0
JANV1241672,41672,Gilles / Camille [41672] ,-73.798714,45.588516,0,0,0
MARS1241672,41672,Gilles / Camille [41672] ,-73.798714,45.588516,0,0,0
JANV1241673,41673,Gilles / Godefroy [41673] ,-73.79577,45.586742,0,0,0
MARS1241673,41673,Gilles / Godefroy [41673] ,-73.79577,45.586742,0,0,0
JANV1241674,41674,Gilles / Godefroy [41674] ,-73.795475,45.58659,0,0,0
MARS1241674,41674,Gilles / Godefroy [41674] ,-73.795475,45.58659,0,0,0
JANV1241675,41675,Gilles / Christiane [41675] ,-73.794964,45.584441,0,0,0
MARS1241675,41675,Gilles / Christiane [41675] ,-73.794964,45.584441,0,0,0
JANV1241676,41676,Gilles / Christiane [41676] ,-73.794707,45.584316,0,0,0
MARS1241676,41676,Gilles / Christiane [41676] ,-73.794707,45.584316,0,0,0
JANV1241677,41677,Gilles / Glenn [41677] ,-73.794098,45.58303,0,0,0
MARS1241677,41677,Gilles / Glenn [41677] ,-73.794098,45.58303,0,0,0
JANV1241678,41678,Gilles / Glenn [41678] ,-73.793739,45.583022,0,0,0
MARS1241678,41678,Gilles / Glenn [41678] ,-73.793739,45.583022,0,0,0
JANV1241679,41679,Gilles / Christiane [41679] ,-73.813183,45.583744,0,0,0
MARS1241679,41679,Gilles / Christiane [41679] ,-73.813183,45.583744,0,0,0
JANV1241680,41680,Gilles / Basile [41680] ,-73.814509,45.582652,0,0,0
MARS1241680,41680,Gilles / Basile [41680] ,-73.814509,45.582652,0,0,0
JANV12CP41681,41681,Gilles / Montée Montrougeau [41681] ,-73.815736,45.581929,0,0,0
MARS12CP41681,41681,Gilles / Montée Montrougeau [41681] ,-73.815736,45.581929,0,0,0
JANV1241682,41682,Gilles / Fleury [41682] ,-73.806699,45.588522,0,0,0
MARS1241682,41682,Gilles / Fleury [41682] ,-73.806699,45.588522,0,0,0
JANV1241683,41683,Gilles / Basile [41683] ,-73.814523,45.582868,0,0,0
MARS1241683,41683,Gilles / Basile [41683] ,-73.814523,45.582868,0,0,0
JANV1241684,41684,Gilles / Carmina [41684] ,-73.804893,45.58877,0,0,0
MARS1241684,41684,Gilles / Carmina [41684] ,-73.804893,45.58877,0,0,0
JANV1241685,41685,Gilles / Carmina [41685] ,-73.80474,45.58895,0,0,0
MARS1241685,41685,Gilles / Carmina [41685] ,-73.80474,45.58895,0,0,0
JANV1241686,41686,Gilles / Colomban [41686] ,-73.801525,45.589175,0,0,0
MARS1241686,41686,Gilles / Colomban [41686] ,-73.801525,45.589175,0,0,0
JANV12CP41687,41687,Giroux / Cartier [41687] ,-73.714606,45.548744,0,0,0
MARS12CP41687,41687,Giroux / Cartier [41687] ,-73.714606,45.548744,0,0,0
JANV1241688,41688,Giroux / 4e Rue [41688] ,-73.715404,45.549831,0,0,0
MARS1241688,41688,Giroux / 4e Rue [41688] ,-73.715404,45.549831,0,0,0
JANV1241689,41689,Giroux / 4e Rue [41689] ,-73.715724,45.54992,0,0,0
MARS1241689,41689,Giroux / 4e Rue [41689] ,-73.715724,45.54992,0,0,0
JANV1241690,41690,Giroux / 5e Rue [41690] ,-73.716741,45.551187,0,0,0
MARS1241690,41690,Giroux / 5e Rue [41690] ,-73.716741,45.551187,0,0,0
JANV1241691,41691,Giroux / 5e Rue [41691] ,-73.716984,45.551223,0,0,0
MARS1241691,41691,Giroux / 5e Rue [41691] ,-73.716984,45.551223,0,0,0
JANV1241692,41692,Giroux / D'argenteuil [41692] ,-73.717872,45.552337,0,0,0
